409 C5.2.1   MRS <Xt>, CurrentEL Current Exception Level
417 C5.2.4   MRS <Xt>, ELR_EL1 Exception Link Register (EL1)
417 C5.2.4   MSR ELR_EL1, <Xt> Exception Link Register (EL1)
417 C5.2.4   MRS <Xt>, ELR_EL12 Exception Link Register (EL1)
417 C5.2.4   MSR ELR_EL12, <Xt> Exception Link Register (EL1)
421 C5.2.5   MRS <Xt>, ELR_EL2 Exception Link Register (EL2)
421 C5.2.5   MSR ELR_EL2, <Xt> Exception Link Register (EL2)
442 C5.2.10   MRS <Xt>, PAN Privileged Access Never
442 C5.2.10   MSR PAN, <Xt> Privileged Access Never
444 C5.2.11   MRS <Xt>, SP_EL0 Stack Pointer (EL0)
444 C5.2.11   MSR SP_EL0, <Xt> Stack Pointer (EL0)
446 C5.2.12   MRS <Xt>, SP_EL1 Stack Pointer (EL1)
446 C5.2.12   MSR SP_EL1, <Xt> Stack Pointer (EL1)
451 C5.2.15   MRS <Xt>, SPSel Stack Pointer Select
451 C5.2.15   MSR SPSel, <Xt> Stack Pointer Select
453 C5.2.16   MRS <Xt>, SPSR_abt Saved Program Status Register (Abort mode)
453 C5.2.16   MSR SPSR_abt, <Xt> Saved Program Status Register (Abort mode)
458 C5.2.17   MRS <Xt>, SPSR_EL1 Saved Program Status Register (EL1)
458 C5.2.17   MSR SPSR_EL1, <Xt> Saved Program Status Register (EL1)
458 C5.2.17   MRS <Xt>, SPSR_EL12 Saved Program Status Register (EL1)
458 C5.2.17   MSR SPSR_EL12, <Xt> Saved Program Status Register (EL1)
468 C5.2.18   MRS <Xt>, SPSR_EL2 Saved Program Status Register (EL2)
468 C5.2.18   MSR SPSR_EL2, <Xt> Saved Program Status Register (EL2)
485 C5.2.20   MRS <Xt>, SPSR_fiq Saved Program Status Register (FIQ mode)
485 C5.2.20   MSR SPSR_fiq, <Xt> Saved Program Status Register (FIQ mode)
490 C5.2.21   MRS <Xt>, SPSR_irq Saved Program Status Register (IRQ mode)
490 C5.2.21   MSR SPSR_irq, <Xt> Saved Program Status Register (IRQ mode)
495 C5.2.22   MRS <Xt>, SPSR_und Saved Program Status Register (Undefined mode)
495 C5.2.22   MSR SPSR_und, <Xt> Saved Program Status Register (Undefined mode)
504 C5.2.25   MRS <Xt>, UAO User Access Override
504 C5.2.25   MSR UAO, <Xt> User Access Override
507 C5.3.1   DC CGDSW Clean of Data and Allocation Tags by Set/Way
515 C5.3.5   DC CGSW Clean of Allocation Tags by Set/Way
523 C5.3.9   DC CIGDSW Clean and Invalidate of Data and Allocation Tags by Set/Way
527 C5.3.11   DC CIGSW Clean and Invalidate of Allocation Tags by Set/Way
531 C5.3.13   DC CISW Data or unified Cache line Clean and Invalidate by Set/Way
535 C5.3.15   DC CSW Data or unified Cache line Clean by Set/Way
549 C5.3.22   DC IGDSW Invalidate of Data and Allocation Tags by Set/Way
551 C5.3.23   DC IGDVAC Invalidate of Data and Allocation Tags by VA to PoC
553 C5.3.24   DC IGSW Invalidate of Allocation Tags by Set/Way
555 C5.3.25   DC IGVAC Invalidate of Allocation Tags by VA to PoC
557 C5.3.26   DC ISW Data or unified Cache line Invalidate by Set/Way
559 C5.3.27   DC IVAC Data or unified Cache line Invalidate by VA to PoC
563 C5.3.29   IC IALLU Instruction Cache Invalidate All to PoU
564 C5.3.30   IC IALLUIS Instruction Cache Invalidate All to PoU, Inner Shareable
568 C5.4.1   AT S12E0R Address Translate Stages 1 and 2 EL0 Read
570 C5.4.2   AT S12E0W Address Translate Stages 1 and 2 EL0 Write
572 C5.4.3   AT S12E1R Address Translate Stages 1 and 2 EL1 Read
574 C5.4.4   AT S12E1W Address Translate Stages 1 and 2 EL1 Write
576 C5.4.5   AT S1E0R Address Translate Stage 1 EL0 Read
578 C5.4.6   AT S1E0W Address Translate Stage 1 EL0 Write
580 C5.4.7   AT S1E1R Address Translate Stage 1 EL1 Read
582 C5.4.8   AT S1E1RP Address Translate Stage 1 EL1 Read PAN
584 C5.4.9   AT S1E1W Address Translate Stage 1 EL1 Write
586 C5.4.10   AT S1E1WP Address Translate Stage 1 EL1 Write PAN
588 C5.4.11   AT S1E2R Address Translate Stage 1 EL2 Read
589 C5.4.12   AT S1E2W Address Translate Stage 1 EL2 Write
593 C5.5.1   TLBI ALLE1 TLB Invalidate All, EL1
593 C5.5.1   TLBI ALLE1NXS TLB Invalidate All, EL1
595 C5.5.2   TLBI ALLE1IS TLB Invalidate All, EL1, Inner Shareable
595 C5.5.2   TLBI ALLE1ISNXS TLB Invalidate All, EL1, Inner Shareable
597 C5.5.3   TLBI ALLE1OS TL B Invalidate All, EL1, Outer Shareable
597 C5.5.3   TLBI ALLE1OSNXS TL B Invalidate All, EL1, Outer Shareable
599 C5.5.4   TLBI ALLE2 TLB Invalidate All, EL2
599 C5.5.4   TLBI ALLE2NXS TLB Invalidate All, EL2
601 C5.5.5   TLBI ALLE2IS TLB Invalidate All, EL2, Inner Shareable
601 C5.5.5   TLBI ALLE2ISNXS TLB Invalidate All, EL2, Inner Shareable
603 C5.5.6   TLBI ALLE2OS TL B Invalidate All, EL2, Outer Shareable
603 C5.5.6   TLBI ALLE2OSNXS TL B Invalidate All, EL2, Outer Shareable
611 C5.5.10   TLBI ASIDE1 TLB Invalidate by ASID, EL1
611 C5.5.10   TLBI ASIDE1NXS TLB Invalidate by ASID, EL1
614 C5.5.11   TLBI ASIDE1IS TLB Invalidate by ASID, EL1, Inner Shareable
614 C5.5.11   TLBI ASIDE1ISNXS TLB Invalidate by ASID, EL1, Inner Shareable
617 C5.5.12   TLBI ASIDE1OS TLB  Invalidate by ASID, EL1, Outer Shareable
617 C5.5.12   TLBI ASIDE1OSNXS TLB  Invalidate by ASID, EL1, Outer Shareable
620 C5.5.13   TLBI IPAS2E1 TLB Invalida te by Intermediate Physical Address, Stage 2, EL1
620 C5.5.13   TLBI IPAS2E1NXS TLB Invalida te by Intermediate Physical Address, Stage 2, EL1
623 C5.5.14   TLBI IPAS2E1IS TLB  Invalidate by Intermediate Physical Address, Stage 2, EL1, Inner Shareable
623 C5.5.14   TLBI IPAS2E1ISNXS TLB  Invalidate by Intermediate Physical Address, Stage 2, EL1, Inner Shareable
626 C5.5.15   TLBI IPAS2E1OS TLB Invalidate by Intermediate Physical Address, Stage 2, EL1, Outer Shareable
626 C5.5.15   TLBI IPAS2E1OSNXS TLB Invalidate by Intermediate Physical Address, Stage 2, EL1, Outer Shareable
629 C5.5.16   TLBI IPAS2LE1 TLB Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1
629 C5.5.16   TLBI IPAS2LE1NXS TLB Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1
632 C5.5.17   TLBI IPAS2LE1IS TLB Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Inner Shareable
632 C5.5.17   TLBI IPAS2LE1ISNXS TLB Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Inner Shareable
636 C5.5.18   TLBI IPAS2LE1OS TLB  Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Outer Shareable
636 C5.5.18   TLBI IPAS2LE1OSNXS TLB  Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Outer Shareable
639 C5.5.19   TLBI RIPAS2E1 TL B Range Invalidate by Intermediate Physical Address, Stage 2, EL1
639 C5.5.19   TLBI RIPAS2E1NXS TL B Range Invalidate by Intermediate Physical Address, Stage 2, EL1
643 C5.5.20   TLBI RIPAS2E1IS  TLB Range Invalidate by Intermediate Physical Address, Stage 2, EL1, Inner Shareable
643 C5.5.20   TLBI RIPAS2E1ISNXS  TLB Range Invalidate by Intermediate Physical Address, Stage 2, EL1, Inner Shareable
647 C5.5.21   TLBI RIPAS2E1OS TLB Range Invalidate by Intermediate Physical Address, Stage 2, EL1, Outer Shareable
647 C5.5.21   TLBI RIPAS2E1OSNXS TLB Range Invalidate by Intermediate Physical Address, Stage 2, EL1, Outer Shareable
651 C5.5.22   TLBI RIPAS2LE1 TLB Range Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1
651 C5.5.22   TLBI RIPAS2LE1NXS TLB Range Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1
655 C5.5.23   TLBI RIPAS2LE1IS TLB Range Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Inner Shareable
655 C5.5.23   TLBI RIPAS2LE1ISNXS TLB Range Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Inner Shareable
659 C5.5.24   TLBI RIPAS2LE1OS TLB Range Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Outer Shareable
659 C5.5.24   TLBI RIPAS2LE1OSNXS TLB Range Invalidate by Intermediate Physical Address, Stage 2, Last level, EL1, Outer Shareable
663 C5.5.25   TLBI RVAAE1 TLB Range Invalidate by VA, All ASID, EL1
